3730,Aliens versus Predator Classic 2000,2010-01-15,game,false,Rebellion,Rebellion,4.99,200000,500000,7,1,5;;;
"3800,Advent Rising,2006-09-14,game,false,""GlyphX Games, Cavetap"",Ziggurat,9.99,50000,100000,0,1,1";;;
3810,BloodRayne (Legacy),2006-09-14,game,false,Terminal Reality,Ziggurat,0.0,50000,100000,0,1,1;;;
3820,BloodRayne 2 (Legacy),2006-09-14,game,false,Terminal Reality,Ziggurat,0.0,50000,100000,1,1,1;;;
3830,Psychonauts,2006-10-11,game,false,Double Fine Productions,Double Fine Productions,9.99,2000000,5000000,47,1,3;;;
3850,BloodRayne 2 Demo,2006-11-07,demo,true,Terminal Reality,Majesco,0.0,0,20000,1,1,1;;;
3900,Sid Meier's Civilization® IV,2006-10-25,game,false,Firaxis Games,2K,19.99,1000000,2000000,757,1,5;;;
3910,Sid Meier's Civilization® III Complete,2006-10-25,game,false,Firaxis Games,2K,4.99,1000000,2000000,1575,1,1;;;
3920,Sid Meier's Pirates!,2005-07-11,game,false,Firaxis Games,2K,9.99,200000,500000,129,1,1;;;
3960,Shattered Union,2006-10-25,game,false,PopTop,2K,4.99,20000,50000,0,1,1;;;
"3980,CivCity: Rome,2007-04-06,game,false,""FireFly Studios, Firaxis Games"",2K,9.99,100000,200000,11,1,3";;;
3990,Civilization IV®: Warlords,2007-04-06,game,false,Firaxis Games,2K,4.99,200000,500000,202,1,5;;;
4000,Garry's Mod,2006-11-29,game,false,Facepunch Studios,Valve,9.99,20000000,50000000,19728,3,25;;;
4100,Poker Superstars II,2006-10-05,game,false,Funkitron,Nucleosys,9.99,0,20000,0,3,1;;;
4102,Poker Superstars II Demo,,demo,true,Funkitron,Funkitron,0.0,0,20000,1,1,1;;;
4230,RACE - The WTCC Game,2006-11-24,game,false,SimBin,SimBin,39.99,0,20000,0,1,5;;;
4260,RACE 07 Demo,2007-09-07,demo,true,SimBin,SimBin,0.0,0,20000,2,1,5;;;
4290,RACE: Caterham Expansion,2007-06-22,game,false,SimBin,SimBin,3.99,0,20000,0,1,1;;;
4300,RoboBlitz,2006-11-07,game,false,Naked Sky Entertainment,N,9.99,20000,50000,0,2,9;;;
4310,RoboBlitz Demo,2006-11-07,demo,true,Naked Sky Entertainment,Naked Sky Entertainment,0.0,0,20000,0,2,9;;;
4420,Silverfall,2007-03-20,game,false,Monte Cristo,Focus Entertainment,0.74,20000,50000,0,1,5;;;
4440,Silverfall Demo,2007-03-09,demo,true,Monte Cristo,Monte Cristo,0.0,0,20000,1,1,1;;;
4460,City Life 2008,2008-09-29,game,false,Monte Cristo,Focus Entertainment,0.99,20000,50000,1,2,3;;;
4470,Silverfall: Earth Awakening,2008-07-18,game,false,Monte Cristo,Focus Entertainment,0.74,20000,50000,0,1,3;;;
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-20,game,false,GSC Game World,GSC Game World,19.99,1000000,2000000,478,2,9;;;
4520,Full Spectrum Warrior,2007-07-17,game,false,Pandemic Studios,THQ Nordic,9.99,100000,200000,0,2,6;;;
4530,Full Spectrum Warrior: Ten Hammers,2007-07-17,game,false,Pandemic Studios,THQ Nordic,9.99,50000,100000,2,2,5;;;
4560,Company of Heroes - Legacy Edition,2007-07-17,game,false,Relic Entertainment,SEGA,36.99,2000000,5000000,85,2,11;;;
"4570,""Warhammer 40,000: Dawn of War - Anniversary Edition"",2007-08-07,game,false,Relic Entertainment,SEGA,34.99,1000000,2000000,211,1,5";;;
"4580,""Warhammer® 40,000: Dawn of War® - Dark Crusade"",2007-08-07,game,false,Relic Entertainment,SEGA,0.0,1000000,2000000,651,1,5";;;
"4700,Total War: MEDIEVAL II – Definitive Edition,2006-11-15,game,false,""CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)"",""SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"",24.99,1000000,2000000,4401,1,9";;;
4710,Medieval II: Total War™ Demo,2006-11-10,demo,true,The Creative Assembly,SEGA,0.0,0,20000,3,1,1;;;
4720,Condemned: Criminal Origins,2012-10-29,game,false,Monolith,SEGA,14.95,200000,500000,17,1,5;;;
4760,Rome: Total War™ - Collection,2007-08-28,game,false,CREATIVE ASSEMBLY,SEGA,0.0,500000,1000000,849,1,1;;;
4770,Rome: Total War™ - Alexander,2007-08-28,game,false,The Creative Assembly,SEGA,0.0,500000,1000000,15,1,1;;;
"4780,Medieval II: Total War™ Kingdoms,2007-08-28,game,false,""The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)"",""SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"",24.99,200000,500000,0,1,1";;;
4800,Heroes of Annihilated Empires,2006-11-22,game,false,GSC Game World,GSC Game World,7.99,100000,200000,5,1,4;;;
4810,Heroes of Annihilated Empires Demo,2006-11-16,demo,true,GSC Game World,GSC Game World,0.0,0,20000,0,1,4;;;
4820,Heroes... Multiplayer Demo,2007-03-06,demo,true,GSC Game World,GSC Game World,0.0,0,20000,1,1,0;;;
4850,Cossacks: Back to War,2010-09-02,game,false,GSC Game World,GSC World Publishing,4.99,200000,500000,181,1,4;;;
4870,Cossacks: Art of War,2011-08-26,game,false,GSC Game World,GSC World Publishing,4.99,50000,100000,20,1,1;;;
4880,Cossacks: European Wars,2011-08-26,game,false,GSC Game World,GSC World Publishing,4.99,50000,100000,24,1,1;;;
4890,Cossacks II: Battle for Europe,2011-08-26,game,false,GSC Game World,GSC World Publishing,4.99,200000,500000,40,1,2;;;
4900,Zen of Sudoku,2006-12-14,game,true,Unknown Worlds Entertainment,Unknown Worlds Entertainment,0.0,20000,50000,11,2,1;;;
4920,Natural Selection 2,2012-10-30,game,false,Unknown Worlds Entertainment,Unknown Worlds Entertainment,4.99,1000000,2000000,82,3,10;;;
