app_id,category_count,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20,category_21,category_22,category_23
3820,3,Family Sharing,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,,,,
3830,8,Family Sharing,Partial Controller Support,Remote Play on Phone,Remote Play on Tablet,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,
3850,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
3900,4,Family Sharing,Includes level editor,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
3910,4,Family Sharing,Includes level editor,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
3920,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3960,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
3980,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
3990,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
4000,19,Captions available,Co-op,Cross-Platform Multiplayer,Family Sharing,Includes level editor,Includes Source SDK,LAN Co-op,LAN PvP,Multi-player,Online Co-op,Online PvP,PvP,Remote Play on Tablet,Single-player,Steam Achievements,Steam Cloud,Steam Trading Cards,Steam Workshop,Valve Anti-Cheat enabled,,,,
4100,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
4102,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
4230,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
4260,3,Game demo,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
4290,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
4300,4,Family Sharing,Includes level editor,Partial Controller Support,Single-player,,,,,,,,,,,,,,,,,,,
4310,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
4420,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
4440,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
4460,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
4470,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
4500,7,Family Sharing,LAN PvP,Multi-player,Online PvP,PvP,Single-player,Steam Cloud,,,,,,,,,,,,,,,,
4520,4,Co-op,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
4530,4,Co-op,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
4560,6,Family Sharing,Multi-player,Single-player,Steam Cloud,Steam Trading Cards,Steam Workshop,,,,,,,,,,,,,,,,,
4570,5,Family Sharing,Multi-player,Single-player,Steam Cloud,Steam Trading Cards,,,,,,,,,,,,,,,,,,
4580,4,Family Sharing,Multi-player,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,
4700,4,Family Sharing,Multi-player,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,,,
4710,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
4720,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
4760,4,Family Sharing,Multi-player,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,,,
4770,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
4780,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
4800,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
4810,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
4820,2,Game demo,Multi-player,,,,,,,,,,,,,,,,,,,,,
4850,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
4870,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
4880,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
4890,7,Family Sharing,Multi-player,Online PvP,PvP,Remote Play Together,Shared/Split Screen PvP,Single-player,,,,,,,,,,,,,,,,
4900,1,Single-player,,,,,,,,,,,,,,,,,,,,,,
4920,10,Family Sharing,Includes level editor,Multi-player,Online PvP,PvP,Steam Achievements,Steam Cloud,Steam Trading Cards,Steam Workshop,Valve Anti-Cheat enabled,,,,,,,,,,,,,
6000,7,Family Sharing,Multi-player,PvP,Remote Play Together,Shared/Split Screen PvP,Single-player,Steam Cloud,,,,,,,,,,,,,,,,
6010,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
6020,9,Family Sharing,Multi-player,Online PvP,Partial Controller Support,PvP,Remote Play Together,Shared/Split Screen PvP,Single-player,Steam Cloud,,,,,,,,,,,,,,
6030,9,Family Sharing,Multi-player,Online PvP,Partial Controller Support,PvP,Remote Play Together,Shared/Split Screen PvP,Single-player,Steam Cloud,,,,,,,,,,,,,,
6040,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
6060,6,Family Sharing,Multi-player,Online PvP,PvP,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,
6080,11,Co-op,Family Sharing,Multi-player,Partial Controller Support,PvP,Remote Play Together,Shared/Split Screen,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player,Steam Cloud,,,,,,,,,,,,
6090,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
6120,9,Family Sharing,Full controller support,Multi-player,Remote Play on TV,Remote Play Together,Shared/Split Screen,Single-player,Steam Achievements,Steam Cloud,,,,,,,,,,,,,,
6130,1,Game demo,,,,,,,,,,,,,,,,,,,,,,
6200,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
6210,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
6220,9,Family Sharing,LAN PvP,Multi-player,Partial Controller Support,PvP,Single-player,Steam Cloud,Steam Trading Cards,Steam Workshop,,,,,,,,,,,,,,
6230,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
6250,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
6260,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
6270,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
6300,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
6310,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
6320,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
6370,3,MMO,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
6400,6,Co-op,Family Sharing,Multi-player,Remote Play Together,Shared/Split Screen,Single-player,,,,,,,,,,,,,,,,,
6410,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
6420,4,Family Sharing,Includes level editor,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
6510,5,Family Sharing,Multi-player,Partial Controller Support,Single-player,Valve Anti-Cheat enabled,,,,,,,,,,,,,,,,,,
6580,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
6600,3,Family Sharing,Single-player,Steam Achievements,,,,,,,,,,,,,,,,,,,,
6800,4,Co-op,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
6810,4,Co-op,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
6830,4,Co-op,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
6840,4,Co-op,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
6850,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
6860,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
6870,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
6880,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
6900,3,Family Sharing,Single-player,Steam Cloud,,,,,,,,,,,,,,,,,,,,
6910,4,Family Sharing,Full controller support,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
6920,3,Family Sharing,Full controller support,Single-player,,,,,,,,,,,,,,,,,,,,
6930,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
6940,2,Game demo,Multi-player,,,,,,,,,,,,,,,,,,,,,
6950,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
6980,3,Family Sharing,Full controller support,Single-player,,,,,,,,,,,,,,,,,,,,
7000,3,Family Sharing,Full controller support,Single-player,,,,,,,,,,,,,,,,,,,,
7010,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
7020,4,Co-op,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
7030,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
7050,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
7110,3,Family Sharing,Partial Controller Support,Single-player,,,,,,,,,,,,,,,,,,,,
7200,4,Family Sharing,Includes level editor,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,
7210,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
7220,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
7230,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
7260,3,Family Sharing,Multi-player,Single-player,,,,,,,,,,,,,,,,,,,,
7280,2,Game demo,Single-player,,,,,,,,,,,,,,,,,,,,,
7340,2,Family Sharing,Single-player,,,,,,,,,,,,,,,,,,,,,
7510,4,Family Sharing,Partial Controller Support,Single-player,Steam Trading Cards,,,,,,,,,,,,,,,,,,,
